Item,Date,Elapse (s),Longitude,Latitude,Altitude (m),Heading,Speed (km/h),Total Distance (km)
1,34:17.0,0,-2.497241,51.446754,63.3,0,0,0
2,34:18.0,1,-2.497216,51.446738,63.2,141.9,8.8,0.002
3,34:19.0,2,-2.497178,51.446719,63.1,141.9,12.2,0.006
4,34:20.0,3,-2.497121,51.446688,62.8,141.9,19,0.011
5,34:21.0,4,-2.497086,51.446669,62.6,142.9,11.5,0.014
6,34:23.0,6,-2.497018,51.446625,62.3,143.9,12.3,0.021
7,34:24.0,7,-2.49698,51.446598,62.1,144.9,14.3,0.025
8,34:25.0,8,-2.496941,51.44657,61.9,145.9,15,0.029
9,34:26.0,9,-2.496903,51.446543,61.6,145.9,14.5,0.033
10,34:27.0,10,-2.496849,51.446506,61.3,146.9,19.8,0.039
11,34:28.0,11,-2.496799,51.44647,61.1,146.9,19.1,0.044
12,34:29.0,12,-2.496754,51.446437,61,147.9,17.4,0.049
13,34:30.0,13,-2.496724,51.446413,60.8,149,12.1,0.052
14,34:31.0,14,-2.4967,51.446393,60.7,149,10.1,0.055
15,34:32.0,15,-2.49668,51.446376,60.7,149,8.2,0.057
16,34:33.0,16,-2.496668,51.446366,60.8,149,5.2,0.059
17,34:34.0,17,-2.49666,51.44636,60.8,149,3.1,0.06
18,34:35.0,18,-2.49666,51.446361,60.8,150,0.5,0.06
19,34:36.0,19,-2.496662,51.44636,60.9,150,0.5,0.06
20,34:37.0,20,-2.496661,51.446359,60.9,150,0.6,0.06
21,34:38.0,21,-2.49666,51.446359,60.9,150,0,0.06
22,34:39.0,22,-2.496661,51.446358,61,150,0.3,0.06
23,34:40.0,23,-2.496659,51.446356,61.1,150,1,0.06
24,34:41.0,24,-2.496657,51.446354,61.1,150,0.9,0.061
25,34:42.0,25,-2.496647,51.446346,61.1,150,4,0.062
26,34:43.0,26,-2.496626,51.446329,61,150,8.9,0.064
27,34:44.0,27,-2.496594,51.446306,60.8,150,12,0.068
28,34:45.0,28,-2.496565,51.446283,60.7,151,11.8,0.071
29,34:46.0,29,-2.496539,51.446261,60.6,151,10.8,0.074
30,34:47.0,30,-2.496519,51.446245,60.5,151,8.3,0.076
31,34:48.0,31,-2.496502,51.446245,60.3,151,4,0.077
32,34:49.0,32,-2.496495,51.446245,60.3,151,1.8,0.078
33,34:50.0,33,-2.496489,51.446237,60.4,151,3.7,0.079
34,34:51.0,34,-2.496482,51.44623,60.4,151,3.2,0.08
35,34:52.0,35,-2.496472,51.446221,60.4,151,4.4,0.081
36,34:53.0,36,-2.496454,51.446206,60.3,153.1,7.6,0.083
37,34:54.0,37,-2.496425,51.44618,60.2,153.1,12.6,0.087
38,34:55.0,38,-2.496393,51.44615,60.1,154.1,14.5,0.091
39,34:56.0,39,-2.496357,51.446118,60,154.1,15.3,0.095
40,34:57.0,40,-2.496322,51.446086,59.9,154.1,15.8,0.099
41,34:58.0,41,-2.496286,51.446054,59.8,153.1,15.5,0.104
42,34:59.0,42,-2.496252,51.446022,59.7,153.1,15.6,0.108
43,35:00.0,43,-2.496211,51.445985,59.8,153.1,18,0.113
44,35:01.0,44,-2.496177,51.445953,59.6,153.1,15.4,0.117
45,35:02.0,45,-2.496153,51.445927,59.7,151,11.9,0.12
46,35:03.0,46,-2.496134,51.445907,59.7,150,9.5,0.123
47,35:04.0,47,-2.496121,51.445896,59.6,149,5.1,0.125
48,35:05.0,48,-2.496118,51.445891,59.7,149,2.2,0.125
49,35:06.0,49,-2.496117,51.445891,59.8,149,0,0.125
50,35:07.0,50,-2.496111,51.445886,59.8,149,2.5,0.126
51,35:08.0,51,-2.49609,51.445867,59.9,148,9.1,0.128
52,35:09.0,52,-2.496053,51.445838,59.8,146,14.9,0.133
53,35:10.0,53,-2.496021,51.445813,59.7,143.9,12.5,0.136
54,35:11.0,54,-2.495987,51.44579,59.5,141.8,12.7,0.14
55,35:12.0,55,-2.495952,51.445767,59.5,139.8,12.6,0.143
56,35:13.0,56,-2.495926,51.445752,59.3,138.8,8.9,0.146
57,35:14.0,57,-2.495913,51.445743,59.3,138.8,4.7,0.147
58,35:15.0,58,-2.495915,51.445744,59.4,138.8,0.5,0.147
59,35:16.0,59,-2.495917,51.445744,59.5,138.8,0.3,0.147
60,35:17.0,60,-2.495916,51.445743,59.5,138.8,0,0.147
61,35:18.0,61,-2.495904,51.445736,59.5,137.8,4.3,0.148
62,35:19.0,62,-2.495856,51.445712,59.5,134.7,15.4,0.153
63,35:20.0,63,-2.495804,51.445688,59.4,133.7,16,0.157
64,35:21.0,64,-2.495754,51.445666,59.2,131.7,15.4,0.161
65,35:22.0,65,-2.495703,51.445646,59,131.7,15.1,0.165
66,35:23.0,66,-2.49567,51.445631,58.8,132.7,10.2,0.168
67,35:24.0,67,-2.495644,51.445618,58.7,134.7,8.1,0.171
68,35:25.0,68,-2.495634,51.445612,58.6,135.8,3.3,0.171
69,35:26.0,69,-2.495622,51.445606,58.6,136.8,3.9,0.173
70,35:27.0,70,-2.4956,51.445594,58.6,138.9,7.3,0.175
71,35:28.0,71,-2.495564,51.445569,58.6,147.5,13.6,0.178
72,35:29.0,72,-2.495532,51.445536,58.4,159.7,15.6,0.183
73,35:30.0,73,-2.495516,51.445502,58.2,174.5,14,0.187
74,35:31.0,74,-2.495518,51.445462,58.2,193.2,15.9,0.191
75,35:32.0,75,-2.495542,51.445414,58.2,213.1,20.3,0.197
76,35:33.0,76,-2.495594,51.445368,58.2,228.4,22.4,0.203
77,35:34.0,77,-2.495664,51.445335,58.2,246.9,22.1,0.209
78,35:35.0,78,-2.495773,51.445314,58.3,271.6,28.5,0.217
79,35:36.0,79,-2.495897,51.445305,58.3,286.3,31.1,0.226
80,35:37.0,80,-2.496022,51.445338,58.3,286.4,34,0.235
81,35:38.0,81,-2.496133,51.445343,58.6,280,27.6,0.243
82,35:39.0,82,-2.496231,51.445348,58.5,277.8,24.6,0.249
83,35:40.0,83,-2.496285,51.445386,58.7,276.8,20.5,0.255
84,35:41.0,84,-2.496343,51.445409,58.9,276.8,17,0.26
85,35:42.0,85,-2.496468,51.445345,59.4,275.7,40.2,0.271
86,35:43.0,86,-2.49652,51.445343,59.9,274.7,12.8,0.275
87,35:44.0,87,-2.496558,51.44534,60,274.7,9.7,0.277
88,35:45.0,88,-2.49659,51.445339,60.1,274.7,7.9,0.28
89,35:46.0,89,-2.496612,51.445339,60.1,274.7,5.5,0.281
90,35:47.0,90,-2.496642,51.445338,60.3,274.7,7.3,0.283
91,35:48.0,91,-2.49669,51.445338,60.4,274.7,12,0.286
92,35:49.0,92,-2.496746,51.445337,60.6,274.7,14.2,0.29
93,35:50.0,93,-2.496813,51.445333,60.9,270.2,16.7,0.295
94,35:51.0,94,-2.496887,51.445321,61.1,251.6,19.1,0.3
95,35:52.0,95,-2.496947,51.445329,61.3,233.6,15.3,0.305
96,35:53.0,96,-2.496984,51.445346,61.5,217.3,11.4,0.308
97,35:54.0,97,-2.497001,51.445343,61.6,206.6,4.7,0.309
98,35:55.0,98,-2.497022,51.445168,61.4,200.1,69.9,0.328
99,35:56.0,99,-2.497032,51.445118,61.2,194.6,20.1,0.334
100,35:57.0,100,-2.497038,51.445071,60.9,197.7,18.9,0.339
101,35:58.0,101,-2.497051,51.445028,60.8,205.4,17.7,0.344
102,35:59.0,102,-2.497023,51.444998,60.3,220.3,13.8,0.348
103,36:00.0,103,-2.49703,51.44498,60.5,241.4,7.5,0.35
104,36:01.0,104,-2.497155,51.444964,60.6,259.7,31.9,0.359
105,36:02.0,105,-2.497208,51.444957,60.8,272,13.5,0.363
106,36:03.0,106,-2.497247,51.444956,60.9,293.2,9.6,0.365
107,36:04.0,107,-2.497275,51.444967,61.1,327.3,8.3,0.368
108,36:05.0,108,-2.4973,51.444998,61.5,355,13.8,0.372
109,36:06.0,109,-2.497308,51.445035,61.7,358.4,15.1,0.376
110,36:07.0,110,-2.497311,51.445065,61.6,358.4,12,0.379
111,36:08.0,111,-2.497355,51.445089,61.7,357.4,14.6,0.383
112,36:09.0,112,-2.497365,51.445125,61.8,359.4,14.8,0.387
113,36:10.0,113,-2.497373,51.445153,61.7,13.9,11.2,0.39
114,36:11.0,114,-2.497378,51.445172,61.8,43.5,7.8,0.392
115,36:12.0,115,-2.497371,51.445182,62,72.5,4.3,0.394
116,36:13.0,116,-2.497369,51.445182,61.7,88.1,0.8,0.394
117,36:14.0,117,-2.497364,51.445188,61.7,91.2,2.9,0.395
118,36:15.0,118,-2.497373,51.445189,61.8,91.2,2.3,0.395
119,36:16.0,119,-2.497373,51.445189,61.7,91.2,0.3,0.395
120,36:17.0,120,-2.497373,51.44519,61.8,91.2,0,0.395
121,36:18.0,121,-2.497373,51.44519,61.8,91.2,0.3,0.396
122,36:19.0,122,-2.497373,51.445192,61.8,90.2,0.8,0.396
123,36:20.0,123,-2.497358,51.445185,61.9,73.4,4.7,0.397
124,36:21.0,124,-2.497372,51.445187,63.9,70.5,3.7,0.398
125,36:22.0,125,-2.497372,51.445185,63.6,68.5,0.8,0.398
126,36:23.0,126,-2.497372,51.445183,63.5,61.1,0.5,0.398
